Bygg	Fra	DX1	DX2	DX3	DX4	DX5	DX6	DY1	DY2	DY3	DY4	DY5	DY6	ETXMin	ETXMax	ETYMin	ETXMax	Grunnlast	ETColor	Navn
Trondheim Kommune - Okstad barnehage	02.01.2017		-12.3	13	20				5490.6	1820.8	1820.8			-15	20	0	8000	1820.8	0	20181002 ØL: Ny ET-kurve
Trondheim Kommune - Okstadvegen Barnehage	03.01.2000		-15.4	-5	11	20			6307.5	4712.5	1377.5	1377.5		-20	25	0	8000	1350	0	Fra Entros EOS
Trondheim Kommune - Okstadvegen Barnehage	29.12.2014		-15	14	20				6000	900	900			-15	20	0	8000	900	0	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Okstadvegen Barnehage	04.01.2016		-15	14	20				6000	900	900			-15	20	0	8000	900	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Okstadvegen Barnehage	01.01.2018	-13.1	6.4	13	20			6280.2	2196.2	1111.3	1111.3			-15	20	0	8000	1111.3	0	20190411 ØL: Ny ET-kurve
Trondheim Kommune - Persaunet barnehage	03.01.2000		-15	13.5	22.5				7582	1784	1784			-20	25	0	10000	1100	0	Fra Entros eos men satte grunnlast fra 0Kwh til 1100Kwh
Trondheim Kommune - Persaunet barnehage	09.09.2019		-15	5.3	14	20			7373.6	3018.9	1800	1800		-15	20	0	8000	1800	0	20190211 VG: Justert og laget ny ET-kurve
Trondheim Kommune - Porsmyra barnehage	03.01.2000		-15.4	-5	13	20.9			5811	4917	1490	1490		-20	30	0	10000	1450	0	Fra Entros eos
Trondheim Kommune - Porsmyra barnehage	29.12.2014	-14.6	10.3	14.1	20			7650.9	2086.8	1300	1300			-15	20	0	10000	1300	0	20171002 ØL: Ny ET-kurve
Trondheim Kommune - Porsmyra barnehage	29.12.2014	-15	-6.5	13	20			7500	6200	1300	1300			-15	20	0	10000	1300	FF44A4	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Porsmyra barnehage	01.01.2018	-12.1	2.9	13	20			6481.1	3709.4	1300	1300			-15	20	0	10000	1300	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Presthus gård barnehage	03.01.2000		-15.4	-5	12	20			3835	3144.7	997.1	997.1		-20	25	0	5000	1000	0	Fra Entros eos
Trondheim Kommune - Presthus gård barnehage	29.12.2014	-13.8	-2	4	13	20		3850.1	3001	2511.3	1000	1000		-15	20	0	5000	1000	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Ranheim barnehage	03.01.2000		-15	-2	12.5	22.5			3892.5	3373.5	882.3	882.3		-20	25	0	5000	900	0	Fra Entros EOS
Trondheim Kommune - Ranheim barnehage	29.12.2014		-15	-2	13	20			4500	3200	1050	1050		-15	20	0	5000	1050	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Ranheim barnehage	01.01.2018		-12.4	1.5	14	20			3783	2709.4	899.1	899.1		-15	20	0	5000	899.1	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Ringen barnehage	03.01.2000		-16.4	-8	12	20			5115.5	4722	944.4	944.4		-20	25	0	7000	830	0	Fra Entros EOS
Trondheim Kommune - Ringen barnehage	29.12.2014		-15	-4	13	20			5600	4100	800	800		-15	20	0	7000	800	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Risvollan midlertidige barnehage	03.01.2000		-16	13.5	20				7300	1095	1095			-15	25	0	9000	1100	0	Fra Entros EOS
Trondheim Kommune - Risvollan midlertidige barnehage	02.01.2017		-11.1	13.5	20				5330.2	964.2	964.2			-15	20	0	9000	964.2	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Rognbudalen barnehage	03.01.2000		-11.3	13	20.9				3661.3	1081	1081			-20	30	0	10000	1100	0	ET fra Entros eos
Trondheim Kommune - Rognbudalen barnehage	29.12.2014	-15	-3	13.9	20			4300	3100	1000	1000			-15	20	0	5000	1000	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Rognbudalen barnehage	01.01.2018	-13.8	0.4	13.5	20			3752.8	2741.5	1000	1000			-15	20	0	5000	1000	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Romemyra barnehage	03.01.2000		-15.4	14	22				5950.34	1182.5	1182.5			-20	25	0	7000	1300	0	ET fra Entros eos
Trondheim Kommune - Romemyra barnehage	29.12.2014		-15	14	20				5800	1200	1200			-15	20	0	7000	1200	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Romolslia Gammelbygg barnehage	03.01.2000		-16	11	20				6104.7	1178.1	1178.1			-20	25	0	8000	1200	0	ET fra Entros eos
Trondheim Kommune - Romolslia Gammelbygg barnehage	04.01.2010		-16	12	20				6500	1100	1100			-20	25	0	8000	1100	0	20170116 ØL: Ny ET-kurve
Trondheim Kommune - Romolslia Gammelbygg barnehage	04.01.2016	-16.9	8.4	14	20			6914.2	1788.7	1208.5	1208.5			-20	25	0	8000	1220.8	0	20170524 ØL: Nytt knekkpunkt
Trondheim Kommune - Romolslia Nybygg barnehage	03.01.2000		-11.3	13	20				2673.99	508.75	508.75			-20	25	0	4000	510	0	ET fra Entros eos
Trondheim Kommune - Romolslia Nybygg barnehage	29.12.2014		-14.7	12	20				2634	460	460			-15	20	0	4000	460	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Romolslia Nybygg barnehage	02.01.2017	-15	4.7	13	20			2536.8	974.6	663.7	663.7			-15	20	0	3000	663.7	0	20190211 ØL: Ny ET-kurve
Trondheim Kommune - Romolslia Nybygg barnehage	04.11.2019	-15	4.1	13	20			2639.1	1054.1	663.7	663.7			-15	20	0	3000	663.7	0	20191108 VG: Justerer litt opp etter forbruk fra 2019
Trondheim Kommune - Rye barnehage	03.01.2000		-15	13	20.9				4032	672	672			-20	25	0	6000	750	0	ET fra Entros eos
Trondheim Kommune - Rye barnehage	29.12.2014		-15	5	7	13	20		4500	1800	1350	750	750	-15	20	0	6000	750	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Rye barnehage	01.01.2018			-11.8	6.5	13	20			4121.8	1576.4	908.5	908.5	-15	20	0	6000	908.5	0	20190603 ØL: Ny ET-kurve
Trondheim Kommune - Rye barnehage	11.02.2019			-10.6	6.3	13	20			4529.3	1644.3	1270.8	1270.8	-15	20	0	6000	1270.8	0	20190603 ØL: Endret forbruk etter målerbytte. Må muligens oppdateres
Trondheim Kommune - Rønningen barnehage	03.01.2000		-15.4	12	20				2481.6	620.4	620.4			-20	25	0	3000	630	0	ET fra Entros eos
Trondheim Kommune - Rønningen barnehage	29.12.2014	-15	7	14	20			2850	850	600	600			-15	20	0	3000	600	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Saupstad Barnehage	03.01.2000		-15.4	13	20				7350	1470	1470			-20	25	0	10000	1500	0	ET fra Entros eos
Trondheim Kommune - Saupstad Barnehage	29.12.2014		-15	13	20				7400	1400	1400			-15	20	0	10000	1400	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Saupstad Barnehage	02.01.2017	-12.7	1.9	13	20			6038.7	3739.6	1400	1400			-15	20	0	10000	1400	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Selsbakkhøgda barnehage	03.01.2000		-15	12	20				3373.5	726.6	726.6			-15	25	0	4000	750	0	ET fra Entros eos
Trondheim Kommune - Selsbakkhøgda barnehage	29.12.2014		-13.7	2.2	2.8	14.7	20		2722.6	1872.7	1495.3	559.5	569.8	-15	20	0	4000	569.8	0	20170901 ØL: Ny ET-kurve
Trondheim Kommune - Sjetne barnehage	03.01.2000		-15.4	-7	12	20			5904	5092.2	1180.8	1180.8		-20	25	0	8000	1200	0	ET fra Entros eos
Trondheim Kommune - Sjetne barnehage	04.01.2010		-15	13.5	25.2				6300	1120	1120			-20	25	0	8000	1120	0	
Trondheim Kommune - Sjetne barnehage	29.12.2014	-10.9	3.1	13	20			6133.1	3037.7	1100	1100			-15	20	0	6500	1100	0	20180212 ØL: Ny ET-kurve med ekstra knekkpunkt
Trondheim Kommune - Sjetne barnehage	02.01.2017	-9	0.3	7.3	13	20		5250	3798.1	2478.3	1149.1	1149.1		-15	20	0	6500	1149.1	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Skjermveien barnehage	03.01.2000		-15.4	-5	12	20			5497.5	4764.5	1539.3	1539.3		-20	25	0	7000	1500	0	ET fra Entros eos
Trondheim Kommune - Skjermveien barnehage	29.12.2014		-11.2	7.6	14.2	20			5905.7	2217	1638.7	1632.1		-15	20	0	7000	1632.1	0	20170908 ØL: Ny ET-kurve
Trondheim Kommune - Skjermveien barnehage	02.01.2017		-15	9.2	14.2	20			6340.6	2190.6	1638.7	1632.1		-15	20	0	7000	1632.1	0	20190204 ØL: Ny ET-kurve
Trondheim Kommune - Skytterveien barnehage	03.01.2000		-15.4	13	20				3291.5	771.8	771.8			-20	25	0	4000	600	0	ET fra Entros eos
Trondheim Kommune - Skytterveien barnehage	29.12.2014		-15	13	20				3200	500	500			-15	20	0	4000	500	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Skytterveien barnehage	21.08.2017		-12.6	11	20				3652.8	937.7	937.7			-15	20	0	4000	937.7	0	20171215 ØL: Ny ventilasjon etter ombygging, før var det for små luftmengder
Trondheim Kommune - Smidalen barnehage	03.01.2000		-15	13.4	22.5				7470.5	1373.5	1373.5			-18	25	0	9500	1150	0	ET fra Entros eos
Trondheim Kommune - Smidalen barnehage	22.08.2016		-15	13.4	22.5				1373.5	1373.5	1373.5			-18	25	0	9500	1150	0	Nedlagt barnehage
Trondheim Kommune - Sollia barnehage	03.01.2000		-15.4	13	20				5148.56	1064.9	1064.9			-18	25	0	6500	1050	0	ET fra Entros eos
Trondheim Kommune - Sollia barnehage	29.12.2014	-15	5	8	13	20		5500	2400	1700	1100	1100		-15	20	0	5500	1100	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sollia barnehage	02.01.2017		-8.6	7.7	13	20			4857.6	1845.3	1349.1	1349.1		-15	20	0	5500	1349.1	0	20190111 ØL: Ny ET-kurve
Trondheim Kommune - Singsaker barnehage	03.01.2000		-15	1	11	20			4495.5	2664	915.75	915.75		-20	25	0	6000	800	0	ET fra Entros eos
Trondheim Kommune - Singsaker barnehage	29.12.2014	-12.3	2.9	3.1	14	20		5830.2	3518.6	1990.6	800	800		-15	20	0	6000	800	0	20170129 ØL: Ny ET-kurve
Trondheim Kommune - Singsaker barnehage	14.11.2016		-13	0.1	14	20			5736.8	4307.6	1139.6	1139.6		-15	20	0	8000	1139.6	0	20180427 ØL: Ny ET-kurve etter at varmekablene ble reparert, må muligens oppdateres
Trondheim Kommune - Singsaker barnehage	09.10.2017		-14.9	8.2	13	20			7004.8	2677.5	2135.9	2135.9		-15	20	0	8000	2135.9	0	20180924 ØL: Ny ET-kurve
Trondheim Kommune - Singsaker barnehage	05.11.2018			-13.3	13	20				4217.1	1139.7	1139.7		-15	20	0	8000	1139.7	0	20190205 ØL: Nytt forsøk på ET-kurve, må sikkert oppdateres
Trondheim Kommune - Spannet barnehage	03.01.2000	-15	13	20.9				2822	896.4	896.4				-15	20	0	3000	900	0	Fra Entros EOS
Trondheim Kommune - Spannet barnehage	29.12.2014		-15	5	12	20			3200	1100	600	600		-15	20	0	4000	600	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Spannet barnehage	29.12.2014		-15	5	12	20			3200	1100	600	600		-15	20	0	4000	600	FF3FBB	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Spongdal barnehage	03.01.2000		-15.4	11.5	20				2709	1023.4	1023.4			-17	24	0	3700	650	0	ET fra Entros eos
Trondheim Kommune - Spongdal barnehage	02.01.2017			-13.5	7.5	13.5	20			2514.2	1059.1	817.6	817.6	-15	20	0	3000	817.6	0	20180612 ØL: Ny ET-kurve
Trondheim Kommune - Stabburet barnehage	03.01.2000		-16	13	20				5202	1213.8	1213.8			-18	25	0	6500	1000	0	ET fra Entros eos
Trondheim Kommune - Stabburet barnehage	29.12.2014		-15	13	20				4600	900	900			-15	20	0	6500	900	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sunnland gulthus barnehage	03.01.2000		-15.4	11.7	22.5				2688.4	429	429			-18	24	0	3500	430	0	ET fra Entros eos
Trondheim Kommune - Sunnland gulthus barnehage	29.12.2014		-15	7.5	13	20			2800	700	450	450		-15	20	0	3500	450	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sunnland gulthus barnehage	02.01.2017			-12.8	7.7	13	20			2748.2	843.4	479.2	479.2	-15	20	0	3500	479.2	0	20180514 ØL: Ny ET-kurve
Trondheim Kommune - Sunnland rødthus barnehage	03.01.2000		-18	12	19.6				2511	418.5	418.5			-18	24	0	3000	400	0	ET fra Entros eos
Trondheim Kommune - Sunnland rødthus barnehage	29.12.2014		-15	13.5	20				2300	400	400			-15	20	0	3000	400	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sunnland rødthus barnehage	08.05.2017		-14.5	13	20				2469.8	490.6	490.6			-15	20	0	3000	490.6	0	20180514 ØL: Ny ET-kurve
Trondheim Kommune - Sverresli barnehage	03.01.2000		-16	13	20				3736	934	934			-18	25	0	4700	950	0	ET i fra Entros EOS
Trondheim Kommune - Sverresli barnehage	04.01.2010		-15	14	20				3800	800	800			-15	20	0	4700	800	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Sverresli barnehage	01.01.2018	-12.4	2	14	20			2998.4	2061.9	800	800			-15	20	0	4700	800	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Teglverket barnehage (Eberg barnehager)	03.01.2000		-15	3.5	11	22.5			2593.5	2047.5	910	910		-18	25	0	5500	920	0	ET i fra Entros EOS
Trondheim Kommune - Teglverket barnehage (Eberg barnehager)	29.12.2014		-15	2.5	13	20			4300	1800	850	850		-15	20	0	4400	850	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Teglverket barnehage (Eberg barnehager)	04.01.2016	-15	-4.9	2.9	7.5	13	20	4300	2613.6	2100	1300	850	850	-12	18	0	5000	850	0	20170411 ØD: Ny ET-kurve høyere knekk
Trondheim Kommune - Teglverket barnehage (Eberg barnehager)	02.01.2017			-10.3	-0.1	11.8	20			3064.2	2224.5	982.1	963.2	-12	18	0	5000	963.2	0	20191010 VS: Endret, litt lavere
Trondheim Kommune - Thyra Ustmyra barnehage	03.01.2000		-15.4	13	19.6				2755	609	609			-20	25	0	3500	580	0	ET i fra Entros EOS
Trondheim Kommune - Thyra Ustmyra barnehage	29.12.2014		-15	14	20				2700	600	600			-15	20	0	3500	600	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Thyra Ustmyra barnehage	02.01.2017	-12.8	7.5	14	20			2840.6	1009.4	600	600			-15	20	0	3500	600	0	20190204 ØL: Ny ET-kurve
Trondheim Kommune - Tonstad barnehage	03.01.2000		-15.4	12	20				6104.88	1537.2	1537.2			-20	25	0	8000	1500	0	ET i fra Entros EOS
Trondheim Kommune - Tonstad barnehage	06.02.2017		-15.4	12	20				6950	1537.2	1537.2			-20	25	0	8000	1600	0	070217 SKB: Ny ET-kurve
Trondheim Kommune - Tonstad barnehage	01.01.2018		-13	13	20				6316	1660.4	1660.4			-15	20	0	8000	1660.4	0	20190314 ØL: Ny ET-kurve
Trondheim Kommune - Tonstad barnehage	18.02.2019		-12	11.9	20				7094.8	2324.6	2324.6			-15	20	0	8000	2324.6	0	20190404 ØL: Ny ET-kurve, økt forbruk etter målerbytte. Må muligens oppdateres
Trondheim Kommune - Tordenskjold barnehage	03.01.2000		-11.3	14	20				4490.38	1124	1124			-18	25	0	6000	1150	0	ET fra Entros EOS
Trondheim Kommune - Tordenskjold barnehage	04.01.2010		-20	13	30				6300	1550	1550			-15	20	0	5000	1550	0	Tordenskjol bhg 18.12.2016 HL
Trondheim Kommune - Tordenskjold barnehage	02.01.2017		-10	15	30				4510.4	1229.2	1229.2			-15	20	0	5000	1229.2	0	20180612 ØL: Ny ET-kurve
Trondheim Kommune - Tordenskjold barnehage	01.01.2018	-8.2	5.3	14	30			4397.3	2699.1	1323.5	1323.5			-15	20	0	5000	1323.5	0	20190402 ØL: Ny ET-kurve
Trondheim Kommune - Trolla barnehage	29.12.2014		-15	12	30				4200	1100	1100			-15	20	0	5000	1100	0	Trolla bhg 18.12.2016 HL
Trondheim Kommune - Kastbrekka barnehage	04.01.2010		-20	13.5	20				5000	1700	1700			-15	20	0	6000	1700	0	Utleir bhg 18.12.2016 HL
Trondheim Kommune - Kastbrekka barnehage	04.01.2016		-14.1	14	20				4637.7	1700	1700			-15	20	0	6000	1700	0	20171220 ØL: Ny ET-kurve
Trondheim Kommune - Kastbrekka barnehage	05.06.2017		-13.8	14	20				5633.9	1722.6	1722.6			-15	20	0	6000	1722.6	0	20180207 ØL: Ny ET-kurve
Trondheim Kommune - Valentinlyst barnehage	03.01.2000		-15.4	-5	13	20			4116.87	3978.3	894	894		-18	25	0	6000	1000	0	ET fra Entros EOS
Trondheim Kommune - Valentinlyst barnehage	29.12.2014		-15	-5	14	20			4600	3978.3	1000	1000		-15	25	0	6000	1000	0	20170123 ØL: Ny ET-kurve
Trondheim Kommune - Valset barnehage	03.01.2000		-15.4	0	12	20.9			6506.28	5115	2250.6	2250.6		-18	25	0	9000	2200	0	Valset bhg 18.12.2016 HL
Trondheim Kommune - Valset barnehage	28.12.2009	-15	0	12	30			7000	4900	2200	2200			-20	30	0	10000	2200	0	Valset bhg 18.12.2016 HL
Trondheim Kommune - Valset barnehage	04.01.2016	-15	0	12	30			7000	4900	2200	2200			-20	30	0	10000	2200	0	Valset bhg 18.12.2016 HL
Trondheim Kommune - Thyra Torvsletta barnehage	03.01.2000		-15	2.5	14.4	22.5			4125	2640	880	880		-18	24	0	5000	900	0	ET i fra Entros EOS
Trondheim Kommune - Thyra Torvsletta barnehage	29.12.2014		-15	2.5	14	20			4200	2400	900	900		-15	20	0	5000	900	0	20170120 ØL: Ny ET-kurve
Trondheim Kommune - Thyra Torvsletta barnehage	02.01.2017		-10.6	2.3	14	20			3615.1	2286.8	900	900		-15	20	0	5000	900	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Vesletun barnehage	03.01.2000			-15	12	30				2600	550	550		-15	20	0	3000	550	0	Vesletun bhg 18.12.2016 HL
Trondheim Kommune - Vesletun barnehage	04.01.2016			-15	12	30				2600	550	550		-15	20	0	3000	550	0	Vesletun bhg 18.12.2016 HL
Trondheim Kommune - Vesletun barnehage	02.01.2017			-14	13.5	30				2464.2	493.4	493.4		-15	20	0	3000	493.4	0	20190114 ØL: Ny ET-kurve
Trondheim Kommune - Vesletun barnehage	08.10.2018			-15	13.5	30				1920.8	493.4	493.4		-15	20	0	3000	493.4	0	20190114 ØL: Ny ET-kurve med ny måler
Trondheim Kommune - Vestlia Arnehuset barnehage	03.01.2000		-15.4	14	20.9				5715.78	921.9	921.9			-18	25	0	7000	1000	0	ET fra Entros eos
Trondheim Kommune - Vestlia Arnehuset barnehage	29.12.2014		-15	14	20				6000	1000	1000			-15	20	0	7000	1000	0	20170123 ØL: Ny ET-kurve
Trondheim Kommune - Vestlia Arnehuset barnehage	02.01.2017	-7.3	7.5	13	20			4518	1852.8	1211.3	1211.3			-15	20	0	7000	1211.3	0	20180221 ØL: Ny ET-kurve
Trondheim Kommune - Vestlia Bjarnehuset barnehage	03.01.2000	-15	1	6.5	12	30		4450	2650	1600	1100	1100		-15	20	0	6000	1100	0	Test
Trondheim Kommune - Vestlia Bjarnehuset barnehage	04.01.2016	-15	1	6.5	12	30		4450	2650	1600	1100	1100		-15	20	0	6000	1100	0	Vestlia Bjarnehuset bhg 18.12.2016 HL
Trondheim Kommune - Voldsminde barnehage	03.01.2000		-15	-1.4	4.6	10.5	25		12800	8000	5800	2900	2900	-15	25	0	15000	2900	0	Test
Trondheim Kommune - Voldsminde barnehage	04.01.2016		-15	-1.4	4.6	10.5	25		12800	8000	5800	2900	2900	-15	25	0	15000	2900	0	Voldsminde bhg 18.12.2016 HL
Trondheim Kommune - Voldsminde barnehage	23.09.2019		-15	-1.4	4.6	12.4	25		12800	8000	5800	2956.6	2900	-15	25	0	15000	2900	0	190923 VS: Justert litt på knekkpunkt 5
Trondheim Kommune - Østmarkneset barnehage	03.01.2000		-15.4	13	20				2801.04	660	660			-18	24	0	4500	650	0	ET fra Entros eos
Trondheim Kommune - Østmarkneset barnehage	07.02.2011		-9.3	4	6	13	25		2777.2	1500	1100	650	650	-15	20	0	3000	650	0	Østmarkneset bhg 20.01.2017 HL (oppdatert 20170314 ØL)
Trondheim Kommune - Østmarkneset barnehage	01.01.2018				-10.1	13	25				2605.7	717.9	717.9	-15	20	0	3000	717.9	0	20181102 ØL: Ny ET-kurve
Trondheim Kommune - Øvre Jakobsli Barnehage	03.01.2000		-15	11	22.5				5170	1350	1350			-15	23	0	7000	1350	FF44DC	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Øvre Jakobsli Barnehage	04.01.2016		-15	11	22.5				5170	1350	1350			-15	23	0	7000	1350	0	20171801 SKB: Ny ET-kurve
Trondheim Kommune - Øvre Jakobsli Barnehage	29.05.2017		-15	13.5	22.5				5777.5	1350	1350			-15	20	0	7000	1350	0	20180216 ØL: Ny ET-kurve med økte luftmengder
Trondheim Kommune - Øvre Jakobsli Barnehage	16.10.2017		-13.2	13	22.5				4905.8	1851.9	1851.9			-15	20	0	7000	1851.9	0	20180927 ØL: Ny ET-kurve
Trondheim Kommune - Åsvang Bergslia barnehage	03.01.2000		-11.6	13	20				2240	448	448			-12	23	0	2600	430	0	ET fra Entros eos
Trondheim Kommune - Åsvang Bergslia barnehage	07.02.2011	-10	2.3	4	10.5	25		2070	1360	1020	520	520		-15	20	0	2600	520	0	Åsvang bergslia bhg 20.01.2017 HL
Trondheim Kommune - Åsvang Bergslia barnehage	02.01.2017	-11.9	3.6	6.9	14.1	25		1638.3	1212.8	843.4	441.5	441.5		-15	20	0	2600	441.5	0	20180611 ØL: Ny ET-kurve
Trondheim Kommune - Åsvang Bergslia barnehage	16.07.2018	-12.2	3.7	7.2	14.1	25		1864	1340.3	980.7	559.2	559.2		-15	20	0	2600	559.2	0	20180903 ØL: Ny ET-kurver pga. økte luftmengder
Trondheim Kommune - Åsvang (Grønnstein) Barnehage	03.01.2000		-11.3	15	20				4496.16	816	754.8			-15	23	0	4500	780	0	ET fra Entros eos
Trondheim Kommune - Åsvang (Grønnstein) Barnehage	07.02.2011		-10	2.2	7	13.3	25		3000	1990	1200	880	880	-15	20	0	4000	880	0	Åsvang Grønnstein bhg 20.01.2017 HL
Trondheim Kommune - Berg barneskole	31.12.2012	-15.4	-1.3	13.5	20			22000	19000	5000	5000			-15	20	0	25000	5000	0	20170116 ØL: Tall fra 2016 ikke med, da ble skolen pusset opp og undervisning foregikk på Brøset interimskole
Trondheim Kommune - Berg barneskole	02.01.2017	-15	5	12	20			35026	11816	6752	6752			-15	20	0	25000	6752	0	20170406 ØL: ET-kurve fra Simien, nybygg inkludert
Trondheim Kommune - Berg barneskole	28.08.2017	-8.9	6.4	12	20			22982.1	9284	7431.2	7431.2			-15	20	0	30000	7431.2	0	20180523 ØL: Ny ET-kurve basert på historikk
Trondheim Kommune - Berg barneskole	01.01.2018	-11.4	5.8	12.5	20			24114.2	10868.9	6752	6752			-15	20	0	30000	6752	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Berg barneskole	24.12.2018		-12.5	11.2	20				23013.4	6187.7	6072.8			-15	20	0	30000	6072.8	0	20190404 ØL: Ny ET-kurve etter at det ble oppdaget et aggregat på loftet som har stått manuelt på i flere år. Nå endret til auto
Trondheim Kommune - Bispehaugen barneskole	04.01.1999		-10	2	10.7	20			41500	32000	12000	12000		-15	20	0	50000	12000	0	Bispehaugen skole 030217 HL
Trondheim Kommune - Bispehaugen barneskole	13.10.2014		-10	2.9	8	12	21		45000	31000	15500	12000	12000	-15	20	0	50000	12000	0	Bispehaugen skole 030217 HL
Trondheim Kommune - Bispehaugen barneskole	02.01.2017		-10.7	2.4	10.3	15	20		46793.5	30567	14179.2	9358.5	9358.5	-15	20	0	50000	9358.5	0	20180516 ØL: Ny ET-kurve
Trondheim Kommune - Blussuvoll ungdomskole	03.01.2000	-15	12	22.5				39270	9625	9625				-15	20	0	45000	10000	0	Fra Entros EOS
Trondheim Kommune - Blussuvoll ungdomskole	30.12.2013	-6.6	5.9	11.2	20			29600	16000	10000	10000			-10	20	0	36000	10000	0	Blussuvoll uskole 22122016 HL
Trondheim Kommune - Blussuvoll ungdomskole	29.12.2014	-6.4	5.3	12.3	20			30550.9	15320.8	11004.8	10950.9			-10	20	0	36000	10950.9	0	20170908 ØL: Ny ET-kurve
Trondheim Kommune - Blussuvoll ungdomskole	02.01.2017		-8.2	11	20				32981.2	11004.8	10950.9			-10	20	0	36000	10950.9	0	20171204 ØL: Ny ET-kurve. Ny DO og rektor, de forrige var knallharde på ENØK
Trondheim Kommune - Blussuvoll ungdomskole	31.12.2018		-8.4	13.9	19.9				32981.2	7336.9	7283			-10	20	0	36000	7283	0	200221 VS: Endret grunnlast
Trondheim Kommune - Bratsberg barneskole	03.01.2000		-15	13.5	20				9150.4	2528.4	2528.4			-15	20	0	12000	2000	0	Fra Entros EOS
Trondheim Kommune - Bratsberg barneskole	30.12.2013		-15	13.5	30				9000	2550	2550			-20	30	0	10000	2550	0	Bratsberg bskole 22122016 HL
Trondheim Kommune - Bratsberg barneskole	02.01.2017		-11.3	11.5	30				6547.2	2663.2	2663.2			-15	20	0	10000	2663.2	0	20180412 ØL: Ny ET-kurve etter ny gjenvinner, må kanskje endres
Trondheim Kommune - Bratsberg barneskole	01.01.2018		-10.3	13	30				6788.7	1938.7	1938.7			-15	20	0	8000	1938.7	0	20190204 ØL: Ny ET-kurve
Trondheim Kommune - Bratsberg barneskole	10.12.2018		-11.9	13	30				6124.5	1938.7	1938.7			-15	20	0	8000	1938.7	0	20190204 ØL: Ny ET-kurve
Trondheim Kommune - Breidablikk barneskole	03.01.2000	-16	13	20				23822.5	5314.25	5314.25				-15	20	0	30000	6200	0	Fra Entros EOS
Trondheim Kommune - Breidablikk barneskole	30.12.2013	-15	2.1	11	30			23500	13500	5800	5800			-15	20	0	30000	5800	0	Breidablikk bskole 22122016 HL
Trondheim Kommune - Breidablikk barneskole	27.03.2017	-13.5	3.3	9.7	30			20556.6	12707.5	6139.6	5800			-15	20	0	30000	6139.6	0	26.04.2017 SKB Ny ET-kurve
Trondheim Kommune - Breidablikk barneskole	01.01.2018		-12.6	1.9	7.5	13	20		23321.8	15623.6	9767.5	5800	5800	-15	20	0	30000	5800	0	20180815 ØL: Ny ET-kurve
Trondheim Kommune - Breidablikk barneskole	05.08.2019		-11.7	2.1	7	13.1	20		25850.5	15508.6	10112.3	5110.3	4995.4	-15	20	0	30000	5110.3	0	20191220 VS: Ny ET-kurve etter forbruk 2019
Trondheim Kommune - Brundalen barneskole	03.01.2000		-13.8	14.3	20				37547.2	8056.6	8056.6			-15	20	0	40000	8056.6	0	20171002 ØL: Ny ET-kurve
Trondheim Kommune - Byåsen barneskole	03.01.2000	-11.6	0	11.7	22.5			53367.05	39253.45	19406.2	19406.2			-15	20	0	60000	13500	0	Fra Entros EOS
Trondheim Kommune - Byåsen barneskole	04.01.2010	-10	1	8	11	20		38700	25000	10200	9200	9200		-20	20	0	50000	9200	0	Byåsen bskole 22122016 HL
Trondheim Kommune - Byåsen barneskole	11.01.2010			-15	13	20				60000	12000	12000		-15	20	0	70000	12000	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Byåsen barneskole	04.01.2016			-14.3	14	20				61320.8	12000	12000		-15	20	0	70000	12000	0	20171031 ØL: Ny ET-kurve
